AC_Input,Availability,Connectivity_Interface,Filament_Compatibility,Filament_Diameter,Layer_Thickness,Machine_Dimensions,Machine_weight,Nozzle_Diameter,Operating_System,Power_Requirements,Print_Plate,Print_Speed,Print_size,Printing_Software,Sold_by,Supported_File_Formats,Warannty,price,title
110V/ 4.8A or 220V /2.4A ,Out Of Stock,"USB, SD Card","PLA, Nylon and Wood",1.75 mm,0.1 mm,320 x 320 x 870mm,9.5 kg ,0.4 mm,"Windows, Linux, Mac",DC12V/20A,Aluminum alloy plate+ heatbed,80 to 120 mm/sec,?170mm * H230 mm,"Repetier-Host, Printrun, Cura",Geeetech,"STL, 3ds, obj, amf, dae, G-code",,$498 USD,Geeetech 301 Rostock Delta 3D Printer Kit
,In Stock,"USB, SD Card",,,,420mm*381mm*400mm,15 Kg,0.3 - 1.5mm,"Win, Mac and Linux",50W,,15-70mm/s,150mm*150mm*73mm,Foodbot Custom Software,Foodbot,STL/Gcode,,"$2,100 USD",Foodbot S2 Multi Ingredient Food 3D Printer
,In Stock,"USB, SD Card",,,,600x573x607mm,25 Kg,0.4 - 1.5mm,"Win, Mac and Linux",200W,,25-50mm/s,80x150x100mm (Dual Mode),Foodbot Custom Software,Foodbot,STL/Gcode/OBJ,,"$5,999 USD",Foodbot D2 Multi Ingredient Dual Head Food 3D Printer
110/220V AC,In Stock,"USB, SD Card (Optional)","ABS, PLA, Wood, PVA and TPE ",1.75mm,0.05 to 0.3 mm,450 x 350 x 450 mm,7 Kg,"0.4 mm 
",Windows/MAC/Linux,360 w,heated bed ,"30 to 120 mm/sec
",203 x 203 x 152.4 mm,"Cura, Repetier Host",FolgerTech,STL,30 days,$280 USD,Folger Tech RepRap Aluminum 3D Printer Kit
110/220V AC,In Stock,"USB, SD Card (Optional)","ABS, PLA, Wood, PVA and TPE ",1.75mm,0.05 to 0.3 mm,450 x 350 x 450 mm,7 Kg,"0.4 mm 
",Windows/MAC/Linux,360W,heated bed ,"30 to 120 mm/sec
",203 x 203 x 178 mm,"Cura, Repetier Host",FolgerTech,STL,30 days,$294 USD,Folger Tech RepRap Acrylic 3D Printer Kit
110/220V AC,In Stock,"USB, SD Card (Optional)","ABS, PLA, Wood, PVA and TPE ",1.75mm,0.05 to 0.4 mm,700 x300 mm,6 Kg,0.4 mm,Windows/MAC/Linux,360W,heated Aluminum bed ,50 to 100 mm/sec,210 x 310 mm,"Cura, Repetier Host",FolgerTech,STL,30 days,$325 USD,Folger Tech Kossel 2020 Delta 3D Printer Kit
,Out Of Stock,,"ABS, PLA, PETG, TPE",1.75mm,,,,0.4mm,,"480w 24V system CE rated Power Supply, can use 110v or 220v (US Cord Provided)",,,300x300x400mm,,FolgerTech,,One Year,$349 USD,Folger Tech FT-i3 Mega Large Scale 3D Printer Kit
,Out Of Stock,,ABS / PLA / PETG Plastic,1.75mm,,1040mmx540mmx750mm,,,,"24V system CE rated Power Supply, 700W 110V Silicone heated bed",,,720x350x~400mm,"Cura, Repetier Host, Simplify3D",FolgerTech,,,$699 USD,Folger Tech FT-6 Large 3D Printer Kit
480W 24v Power Supply ,Out Of Stock,"USB, SD Card ","ABS, PLA, Wood, HIPS and PETG ",1.75 mm,.05 mm,740mmx500mmx540mm,19.5 Kg,0.4 mm,Windows/MAC/Linux,110V or 220V,24V HeatBed,100 to 180 mm/sec,300 x 300 x 400 mm,,FolgerTech,STL,"14 DAY-REPLACEMENTS for Manufacturer Defect, 14 DAY-RETURN  Unopened/Unassembled",$499 USD,Folger Tech FT-5 R2 3D Printer Kit
360W 12V 30A,Out Of Stock,"USB, SD Card ","ABS, PLA, Wood, HIPS and PETG ",1.75 mm,.05 mm,740mmx500mmx540mm,19.5 Kg,0.4 mm,Windows/MAC/Linux,110V or 220V,12V HeatBed,100 to 180 mm/sec,300 x 300 x 400 mm,,FolgerTech,STL,"14 DAY-REPLACEMENTS for Manufacturer Defect, 14 DAY-RETURN  Unopened/Unassembled",$699 USD,Folger Tech FT-5 Large Scale 3D Printer Kit
110 / 220 V,Out Of Stock,"USB, SD Card ","ABS, PLA, Wood, HIPS, PETG and PVA",1.75 mm,.05 mm,457.2 x 457.2 x 406.4 mm,9 Kg,0.4 mm,Windows/MAC/Linux,360 W 12 V 30A,HeatBed,60 to 160 mm/sec,230 x 150 x 120 mm,"Cura, Repetier Host",FolgerTech,STL,30 days ,$799 USD,Folger Tech Cloner - Dual Extruder 3D Printer Kit
"50Hz, 0.89A",Out Of Stock,SD card or USB,"PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05 mm,583 x 533 x 500 mm,25kg.,"0.4 mm (customized 0.2mm/0.3mm)
","Windows, Mac","110V/220V, 600W",MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,360 x 360 x 360 mm,"Cura, Repetier-Host, Simplify3D",Flying Bear,"STL, G-code",1 Year,$868 USD,Flyingbear Tornado 2 Pro 3D Printer Kit
,Out Of Stock,"WiFi,U-disk",,,,203*175*415(L*W*H),10kg,,,,,30mm/h,120*68*210mm,"FLYINGBEAR-Shine slicer, Creation workshop",Flying Bear,,One Year,$929 USD,Flyingbear Shine UV Resin DLP 3D Printer
"50Hz, 0.89A",Out Of Stock,SD card or USB,"PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05 mm,338*345*385mm,14 kg,0.4mm (customized 0.2mm/0.3mm),"Windows, Mac","110V/220V, 450W",MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,220*280*242mm,"Cura, Repetier-Host",Flying Bear,"STL, G-code",6 Months,$555 USD,Flyingbear P905X - All-Metal Fuselage Large 3D Printer Kit
"50Hz, 0.89A",Out Of Stock,SD card or USB,"PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05 mm,348 X 348 X 485mm. ,10 kg,0.4mm (customized 0.2mm/0.3mm),"Windows, Mac","110V/220V, 450W",MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,220 X 220 X 310mm.,"Cura, Repetier-Host",Flying Bear,"STL, G-code",6 Months,$399 USD,Flyingbear P905H - All-Metal Fuselage Large 3D Printer Kit
"50Hz, 0.89A",Out Of Stock,SD card or USB,"PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05 mm,390 x 390 x 500 mm,10 kg,"0.4 mm 
","Windows, Mac","110V/220V, 450W",MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,220*220*210mm/220*280*210 mm,"Cura, Repetier-Host, Simplify3D",Flying Bear,"STL, G-code",6 Months,$399 USD,Flyingbear P905 - Metal Frame Large 3D Printer Kit
"50Hz, 0.89A",Out Of Stock,SD card or USB,"PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05 mm,390 x 390 x 500 mm,10 kg,"0.4 mm 
","Windows, Mac","110V/220V, 250W",MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,220 x 220 x 280 mm,"Cura, Repetier-Host, Simplify3D",Flying Bear,"STL, G-code",6 Months,$399 USD,Flyingbear P902 - Metal Frame Large 3D Printer Kit
"50Hz, 0.89A",In Stock,"Wifi, SD Card and USB.","TPU,PLA, ABS, TPU,Wood, HIPS .etc",1.75mm,0.05-0.3mm,388*337*411mm,17 kg,0.4mm (customized 0.2mm/0.3mm),"Windows, Mac","24V, 300W",MK3 - Integrated aluminum plate and heatbed,150 mm/s.,255*210*200mm,"Cura, Repetier-Host",Flying Bear,"STL , OBJ , DAE , AMF",,$278 USD,Flyingbear Ghost 5 All Metal High Precision 3D Printer
"50Hz, 0.89A",Out Of Stock,"Wifi, SD Card and USB.","PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05-0.3mm,392*342*420mm,17 kg,0.4mm (customized 0.2mm/0.3mm),"Windows, Mac","24V, 350W",MK3 - Integrated aluminum plate and heatbed,150 mm/s.,230*230*210mm,"Cura, Repetier-Host",Flying Bear,"STL, G-code",6 Months,$308 USD,Flyingbear Ghost 4S All Metal High Precision 3D Printer
"50Hz, 0.89A",Out Of Stock,"Wifi, SD Card and USB.","PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75mm,0.05-0.3mm,371*357*410mm,17 kg,0.4mm (customized 0.2mm/0.3mm),"Windows, Mac","24V, 350W",MK3 - Integrated aluminum plate and heatbed,150 mm/s.,230*230*210mm,"Cura, Repetier-Host",Flying Bear,"STL, G-code",6 Months,$570 USD,Flyingbear Ghost 4 All Metal High Precision 3D Printer
,In Stock,"USB, SD-Card","ABS, PLA, HIPS, Flex, Wood etc",1.75 mm,0.1 - 0.3 mm,290 x 350 x 800 mm,12 kg,0.4 mm,"Windows, MacOS, Linux","110-240V AC, 50/60Hz, 1.5A",,300 mm /sec,260 x 370 mm,"Cura, Repetier Host, Simplify3D",Flsun,".STL, .OBJ, .GCODE",One Year,$309 USD,Flsun QQ-S Pro Delta Kossel 3D Printer 
,Out Of Stock,"USB, SD-Card, Wifi","ABS, PLA, HIPS, Flex, Wood etc",1.75 mm,0.1 - 0.3 mm,290 x 350 x 800 mm,12 kg,0.4 mm,"Windows, MacOS, Linux","110-240V AC, 50/60Hz, 1.5A",,300 mm /sec,260 x 370 mm,"Cura, Repetier Host, Simplify3D",Flsun,".STL, .OBJ, .GCODE",One Year,$275 USD,Flsun QQ-S Delta Kossel 3D Printer 
"12V, 30 A",Out Of Stock,"USB, SD Card, Wifi Remote",PLA/ABS/PVA/HIPS/WOOD/ Soft Plastic,1.75 mm,0.1 to 0.4 mm,700 x 400 x 100 mm,12 Kg,0.4 mm,Windows/Mac/Linux,"VAC,50~60Hz,110V~220V",,20 to 300 mm/sec,260 x 370mm,"Repetier host, Simplify3D",Flsun,STL/OBJ/AMF/3DS,One year,$599 USD,Flsun QQ Pre-assembled Delta 3D Printer V2.0
,In Stock,"USB, SD Card",PLA/ABS/PHA/PETG/Flexible/HIPS/WOOD,1.75mm,,380*680*300mm,6.5 Kg,0.4mm,"Win, Mac and Linux",110v/220v/600W,,150mm/s,200*200*200mm,"Cura, Repetier-Host, Simplify 3D",Flsun,STL/OBJ/Gcode/JPG/PNG,,$235 USD,Flsun Q5 Auto Leveling Kossel Delta 3D Printer Kit
,Out Of Stock,"USB, SD Card ","PLA, ABS,Flexible, HIPS,WOOD,PVA",1.75 mm,0.05-0.4mm,520 x 520 x 580 mm,13 Kg,0.4 mm,Windows/Mac/Linux,"12 V, 30 A",MK3,50 to 300 mm/sec,260 x 260 x 350 mm,Repetier Host,Flsun,"STL, Gcode, OBJ",One year,$274 USD,Flsun F5 Cube Large 3D Printer Kit
,Out Of Stock,"USB, SD Card ","PLA ABS, PETG, Wood, PVA and Flexible Filaments",1.75 mm,0.1 to 0.4 mm,460 x 400 x 420 mm,8 Kg,0.4 mm,Windows/Mac/Linux,"200W, 110V / 220V",MK3 heatbed,20 to 150 mm/sec,300 x 300 x 420 mm,Repetier host,Flsun,"STL, Gcode, OBJ",One year,$209 USD,Flsun C5 i3 Plus Large 3D Printer Kit
,Out Of Stock,"USB, SD Card ","PLA ABS, PETG, Wood, PVA and Flexible Filaments",1.75 mm,0.1 to 0.4 mm,460 x 400 x 420 mm,8 Kg,0.4 mm,Windows/Mac/Linux,"200W, 110V / 220V",MK3 heatbed,20 to 150 mm/sec,200 x 200 x 220 mm,Repetier host,Flsun,"STL, Gcode, OBJ",One year,$345 USD,Flsun C i3 Metal Frame 3D Printer Kit
,Out Of Stock,"USB, SD Card","PLA, ABS,WOOD,HIPS,PVA,Nylon,poly,TPU",1.75mm,,460X 400 X420mm,7.5 kg,0.4mm,,200W / 300W,Heated Bed,150 mm/s,200*200*250mm,"Cura, Repetier Host, Simplify3D",Flsun,".stl, g-code.",One Year,$245 USD,Flsun 3D Z Ormerod Reprap 3D Printer Kit
"110V-220V,adjustable",In Stock,"USB, WIFI, SD Card","ABS,PLA,PVA,HIPS",1.75mm,0.1-0.5mm,480×400×335mm,16.5 kg,0.4mm,Windows/MAC/LINUX,350W,heated bed ,30 to 150 mm/sec,230 x 150 x 140 mm,Flashprint,Flashforge,"Input STL/OBJ , Output GX/G",One Year,$959 USD,Flashforge Inventor Dual Extruder 3D Printer
,In Stock,USB thumb drive/USB cable/Wi-fi,,,,"14.17"" x 12.20"" x 22.24"" (360 x 310 x 565mm)",17.8 Kg,,,"100-240V, 50-60Hz, 1A",,,"4.72"" x 2.66"" x 5.91"" (120 x 67.5 x 150mm)",FlashPrint,Flashforge,STL,,"$3,999 USD",Flashforge Hunter DLP Resin 3D Printer
,In Stock,,,,,,,,,,,,,,Ortur,,,$73 USD,Customized Purchase from 3dprintersonlinestore.com
,In Stock,SD Card / Online Printing,PLA/ABS/PETG/TPU,1.75mm,,520*470*630mm,7.5 Kg,0.4mm,"Win, and Mac",110V/220V 360W ,,20 - 200mm/sec,300*300*400mm,"Cura, Repetier-Host, Simplify 3D",Creativity,"JPG,OBJ,STL",,$371 USD,Creativity CY300 i3 3D Printer
,In Stock,SD card/USB,"PLA, ABS, HIPS, Flexible, Soft Rubber, Carbon Fiber, WOOD, PC, PVC, TPU etc.",1.75mm,0.1-0.4mm,460*480*590mm,18 kg,0.4mm,Win/Mac/Linux,110V/220V output 24v,,20-100mm/s,300*300*350mm,Cura/Repetier Host/Simplify3D,Creativity,"STL, G-code",One Year,$420 USD,Creativity 3D Elf CoreXY 3D Printer Kit
,In Stock,"USB and SD card reader
",PLA,1.75 mm,0.05 to 0.3 mm,188 x 187 x 230 mm,3 Kg,0.4 mm,Windows/MAC/Linux,"100 V to 240 V, 50 W",PCB,20 to 40 mm/sec,85 x 80 x 94 mm,Createbot software,Createbot,"STL, OBJ",6 Months,$239 USD,Createbot Super Mini 3D Printer
,In Stock,"USB and SD card reader
","PLA, ABS,PETG, Wood, PVA and Flexible Filaments. ",1.75 mm,0.1 to 0.3 mm,325 x 303 x 428 mm,11 kg,0.4 mm,Windows/MAC/Linux,"100 to 240 V, 120 W",Heated Bed,40 to 60 mm/sec,150 x 150 x 220 mm,Createbot software,Createbot,"STL, OBJ, DAE, BMP",6 Months,$549 USD,Createbot Mini FDM 3D Printer
,In Stock,"USB and SD card reader
","PLA, ABS,PETG, Wood, PVA and Flexible Filaments. ",1.75 mm,0.05 to 0.2 mm,385 x 355 x 515 mm,26 Kg,0.4 mm,Windows/MAC/Linux,"220 V, 200 W",Heated Bed,20 to 150mm/sec,205x205x250mm,Createbot software,Createbot,"STL, OBJ, DAE, BMP",6 Months,$799 USD,Createbot MID FDM 3D Printer
,In Stock,"USB and SD card reader
","PLA, ABS,PETG, Wood, PVA and Flexible Filaments. ",1.75 mm,0.05 to 0.2 mm,460 x 405 x 685 mm,37.5 Kg,0.4 mm,Windows/MAC/Linux,"220 V, 200 W",Heated Bed,80 to 250 mm/sec,280 x 250 x 400 mm,Createbot software,Createbot,"STL, OBJ, DAE, BMP",6 Months,"$1,089 USD",Createbot Max FDM 3D Printer
,Out Of Stock,"USB
",,,,420*381*400mm,15 Kg,0.4mm to 1.55mm,Windows/MAC/Linux,,,20 to 30 mm/sec,150 x 150 x 100 mm,Repetier host,Createbot,STL,6 Months,"$2,349 USD",Createbot 3D Food Printer - Multi-Ingredient Support
"100-240V, 50-60Hz",In Stock,"USB, SD card Supported ","PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, PEEK, etc.

",1.75mm,0.02mm,660*470*580mm,43 kg,"0.4mm (0.3, 0.5, 0.6, 0.8, 1.0mm)

","Windows, Linux,Mac OS",300W,"Glass Ceramic Panel

",200mm/s,400*300*300mm (F430),"CreatWare Multi-language

",Creatbot,"STL, OBJ, AMF",,"$4,299 USD",Creatbot F430 3D Printer
"100-240V, 50-60Hz",In Stock,"USB, SD card Supported ","PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, PEEK, etc.

",1.75mm,0.04mm,370*320*490mm,20 kg,"0.4mm (0.3, 0.5, 0.6, 0.8, 1.0mm)

","Windows, Linux,Mac OS",300W,"Heatable Aluminium PCB with BuildTak

",30 to 200 mm/sec,160*160*200mm (F160),"CreatWare Multi-language

",Creatbot,"STL, OBJ, AMF",,"$1,199 USD",Creatbot F160 3D Printer
110V or 220V,In Stock,"USB, SD card Supported ","PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, etc.",3.00 mm (1.75 mm optional),0.04-0.3mm,"DX:  420*370*680mm
DX Plus : 420*370*790mm","DX: 30 kg
DX Plus : 35 kg","0.4 mm (Standard) 0.3, 0.5, 0.8, 1.0 mm (Optional)","Windows, Linux,Mac OS",50 Hz,Microcrystalline Ceramic Panel,30 to 200 mm/sec,"DX:  300*250*300 mm
DX Plus : 300*250*520 mm",CreatWare Multi-language,Creatbot,"STL, OBJ, AMF",6 Months,"$1,799 USD",Creatbot DX / DX Plus 3D Printer
"100-240V,",In Stock,"USB, SD card Supported ","PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, etc.",3.00 mm (1.75 mm optional),0.04-0.3mm,"DE: 590*430*560mm
DE Plus : 590*430*780mm","DE: 35 kg
DE Plus : 42 kg","0.4 mm (Standard) 0.3, 0.5, 0.8, 1.0 mm (Optional)","Windows, Linux,Mac OS",50-60Hz,Microcrystalline Ceramic Panel,30 to 200 mm/sec,"DE:  400*300*300mm
DE Plus : 400*300*520mm",CreatWare,Creatbot,"STL, OBJ, AMF",6 Months,"$3,299 USD",Creatbot DE / DE Plus 3D Printer
"100-240V, 50-60Hz
220-240V, 50-60Hz - D600 Pro",In Stock,"USB, SD card Supported ","PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, etc.
",1.75mm,0.02mm,915*845*1085mm,125 kg,"0.4mm (0.3, 0.5, 0.6, 0.8, 1.0mm)

","Windows, Linux,Mac OS",1000W4000W - D600 pro,"Microcrystalline Ceramic Panel

",30 to 180 mm/sec,600*600*600mm,"CreatWare Multi-language

",Creatbot,"STL, OBJ, AMF",,"$10,499 USD",Creatbot D600 / D600 Pro Dual Extruder 3D Printer
100-240V,In Stock,USB,,,,221mm*221mm*403mm,7 kg,,,72W,,6 - 18secs/layer,119 x 65 x 160mm,,Creality,"STL,CTB",,$199 USD,Creality LD-002R LCD Resin 3D Printer
100-240V,In Stock,USB,,,,221mm*221mm*403mm,7 kg,,,72W,,6 - 18secs/layer,130x82x160mm,,Creality,"STL,CTB",,$239 USD,Creality LD-002H Mono LCD Resin 3D Printer
,In Stock,online or TF cards are printed ofline,"PLA, TPU, Wood, Carbon Fiber, etc",1.75 mm,0.1mm-0.4mm,495*496*650 mm,22 Kg,0.4 mm,Windows/Mac/Linux,Input:115-230V AC;Output:DC 24VNominal : 4A/2.1AMax Power : 360W,Carborundum glass bed. ,150 mm/sec,250*250*400mm,Cura/Repetier-Host/Simplify3D,Creality,"STL, Gcode, OBJ",1 year,$519 USD,Creality Ender 6 CoreXY 3D Printer
,In Stock,"USB, SD Card ","PLA, ABS, PETG, TPU, Carbon Fiber, etc.",1.75 mm,0.05-0.4mm,552 X 485 X 510mm,11.8 kg,0.4 mm,Windows/Mac/Linux,Input-AC 110V/220V 50/60Hz Output-DC 24V,Heatbed,200 mm/sec,220×220×300 mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$330 USD,Creality Ender 5 Pro 3D Printer Kit
,In Stock,online or TF cards are printed ofline,"PLA, ABS,Soft Glue, Wooden, Copper Containing, Gradient, etc.",1.75 mm,0.05-0.4mm,632*666*619mm,18.2 kg,0.4 mm,Windows/Mac/Linux,Input:100-240V AC;Output:DC 24V 21A;Max25A,Heatbed,200 mm/sec,350*350*400mm,Cura/Repetier-Host/Simplify3D,Creality,"STL, Gcode, OBJ",1 year,$529 USD,Creality Ender 5 Plus 3D Printer Kit
,In Stock,"USB, SD Card ","PLA, ABS, PETG, TPU, Carbon Fiber, etc.",1.75 mm,0.05-0.4mm,400 X 380 X 400mm,11 kg,0.4 mm,Windows/Mac/Linux,Input-AC 110V/220V 50/60Hz Output-DC 24V,Heatbed,200 mm/sec,220×220×300 mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$259 USD,Creality Ender 5 3D Printer Kit
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,0.05-0.4mm,,8.6kg,0.4 mm,Windows/Mac/Linux,Input: AC 100-265V 50-60hzOutput : DC 24V 15A 360W,Heatbed,180 mm/sec,220*220*250mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$165 USD,Creality Ender 3X 3D Printer Kit
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,±0.1mm,,7.8 kg,0.4 mm,Windows/Mac/Linux,Input: AC 100-265V 50-60hzOutput : DC 24V 15A 360W,,180 mm/sec,220*220*250mm,Cura/Simplify3D,Creality,"STL, Gcode, OBJ",1 year,$239 USD,Creality Ender 3 V2 3D Printer Kit
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,0.05-0.4mm,,8.6kg,0.4 mm,Windows/Mac/Linux,Input: AC 100-265V 50-60hzOutput : DC 24V 15A 360W,Heatbed,180 mm/sec,220*220*250mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$199 USD,Creality Ender 3 Pro 3D Printer Kit
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, PETG, etc.",1.75 mm,0.1-0.4mm,,9.5 kg,0.4 mm,Windows/Mac/Linux,Input: AC 100-240V 50-60hzOutput : DC 24V 15A 350W,,180 mm/sec,300*300*340mm,Creality Slicer/ Cura/Repetier host/ Simplify3D,Creality,"STL, AMF, OBJ",1 year,$289 USD,Creality Ender 3 Max 3D Printer
AC 110-220V 50-60Hz ,In Stock,Online or SD offline ,"PLA, ABS, wood, tpu, carbon, PLA metal",1.75mm,0.05-0.4mm ,550*400*650mm,14 kg,"0.4mm, can be 0.2mm 0.3mm",Win / Mac / Linux,DC 24V 15A 480W ,,100mm/sec,300*300*400mm(One colour) 270x270x400mm(two colour) ,"Cura, Repetier Host ,Simplify3D",Creality,"STL,OBJ,G-Code ",One Year,$815 USD,Creality Cr-X Pro Dual Color 3D Printer
AC 110-220V 50-60Hz ,Out Of Stock,Online or SD offline ,"PLA, ABS, wood, tpu, carbon, PLA metal",1.75mm,0.05-0.4mm ,550*400*650mm,20 kg,"0.4mm, can be 0.2mm 0.3mm",Win / Mac / Linux,DC 24V 15A 480W ,,100mm/sec,300*300*400mm(One colour) 270x270x400mm(two colour) ,"Cura, Repetier Host ,Simplify3D",Creality,"STL,OBJ,G-Code ",One Year,$599 USD,Creality Cr-X Dual Extruder 3D Printer Kit
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,±0.1mm,,9.5 kg,0.4 mm,Windows/Mac/Linux,100v-240v  AC 50/60HZOutput : DC 24V 15A 350W,,80-100mm/s,235x235x250mm,Creality Slicer/Cura/Reptier-Host/Simplify3D,Creality,STL/OBJ/AMF,1 year,$390 USD,Creality CR-6 SE 3D Printer
,In Stock,Online or SD card offline ,"PLA,ABS,Wood,TPU,gradient color,carbon fiber,etc.",1.75mm,±0.1mm ,550 x 490 x 650 mm,13.86 Kg,"Standard 0.4mm,can be in 0.3, 0.2mm",,Input:100-240V 5.9A 50/60Hz Output:DC 24V 21A 480W ,,"180mm/s, Normal 30-60mm/s ",300 x 300 x 400mm,"Cura, Repetier-Host, Simplify3D",Creality,"STL,Obj,amf ",One Year,$539 USD,Creality Cr-10S Pro V2 3D Printer Kit
,Out Of Stock,Online or SD card offline ,"PLA,ABS,Wood,TPU,gradient color,carbon fiber,etc.",1.75mm,±0.1mm ,490 x 550 x 650 mm,13 Kg,"Standard 0.4mm,can be in 0.3, 0.2mm",,Input:100-240V 5.9A 50/60Hz Output:DC 24V 21A 480W ,,"180mm/s, Normal 30-60mm/s ",300 x 300 x 400mm,"Cura, Repetier-Host, Simplify3D",Creality,"STL,Obj,amf ",One Year,$481 USD,Creality Cr-10S Pro 3D Printer Kit
,In Stock,"TF card,USB",PLA/ABS/PETG/TPU,1.75mm,,450*400*210mm,11.5 Kg,0.4mm,"Win, Mac and Linux",350W ,,"≤180mm/s,normal 30-60mm/s",300*300*400mm,"Cura, Repetier-Host, Simplify 3D",Creality,"AMF,OBJ,STL",,$439 USD,Creality CR-10 V3 3D Printer 
,In Stock,"TF card,USB",PLA/ABS/PETG/TPU,1.75mm,,450*400*210mm,11.5 Kg,0.4mm,"Win, Mac and Linux",350W ,,"≤180mm/s,normal 30-60mm/s",300*300*400mm,"Cura, Repetier-Host, Simplify 3D",Creality,"AMF,OBJ,STL",,$379 USD,Creality CR-10 V2 3D Printer 
,Out Of Stock,"Online, USB, SD-Card","ABS, PLA,TPU, etc",1.75 mm,0.1 - 0.3 mm,420 x 440 x 470 mm,8 kg,0.4 mm,"Windows, MacOS, Linux",Input:AC 100-120V/6.8A 200-240V/3.4A 50/60Hz Output:DC 24V ,,100 mm /sec,220 x 220 x 250 mm,"Cura, Repetier Host, Simplify3D",Creality,".STL, .OBJ, .GCODE",One Year,$393 USD,Creality CR 20 Pro 3D Printer Kit
,In Stock,"USB, Online, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,0.05-0.4mm,,7.5kg,0.4 mm,Windows/Mac/Linux,Input: AC 100-265V 50-60hzOutput : DC 24V 15A 360W,Self adhesive Heated Bed Platform.,180 mm/sec,220*220*250mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$350 USD,Creality CR 20 3D Printer Kit
,Out Of Stock,"USB, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,0.05-0.4mm,,"8.7 kg - Cr10/Cr10S
10.5kg - Cr10S4
14.6kg - Cr10S5",0.4 mm,Windows/Mac/Linux,"12 V, 120 W",Heatbed,200 mm/sec,"300*300*400mm - Cr10/Cr10S
400*400*400mm - Cr10S4
500*500*500mm - Cr10S5",Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$359 USD,Creality Cr 10 Series Large 3D Printer Kit
,Out Of Stock,"USB, SD Card ","PLA, ABS, TPU, Copper, Wood, Carbon Fiber, Gradient Color etc.",1.75 mm,0.05-0.4mm,,7.5kg,0.4 mm,Windows/Mac/Linux,"12 V, 120 W",Heatbed,200 mm/sec,300*220*300mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$299 USD,Creality CR 10 Mini 3D Printer Kit
,In Stock,online or TF card offline ,,,±0.1mm,,,"0.4 mm (standard) , 0.8mm (optional)",,"750 WParameters of Motherboard 75W, 24V, input: 100-2400 AC, output: 240 power supply Hotbed 750W, 24V, input: 100-240VAC, output: 24V ",,,450mm x 450mm x 470mm,"Cura, Simplify3D ",Creality,".STL, .OBJ, .AMF",,$849 USD,Creality CR 10 Max Large 3D Printer 
,Out Of Stock,"USB, SD-Card","PLA, ABS,TPU, HIPS, Wood",1.75 mm,0.05 - 0.3 mm,580 x 520 x 1020 mm,19.2 kg,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 50/60Hz, 1.5A",,up to 150 mm /sec,370mm(D) x 455mm(H),"Cura, Repetier Host, Simplify3D",Anycubic,".STL, .OBJ, .GCODE, jpg, png",One Year,$339 USD,Anycubic Predator Large Delta 3D Printer Kit
